reviews.rating,reviews.text
5,Bought this to put cut up lettuce into. But found that the Celery fit better without cutting it up into short pieces.
5,Great for large servings Used it for cold meat and stayed fresh Love this product
5,it's so easy to use and keeps items fresh and crisp
5,I bought this a month ago and it has saved money wasted on breads and produce going to waste before I could use it up.
5,"I love the fact you can see what is inside, easy to fill and vacuum. They stack nicely and take up less space."
5,I have used my foodsaver container over and over...I love that I can add longevity and freshness to my leftovers
5,I bought this set as well as the 10 cup container. I have been using them for fruit lettuce.they seal easily stay sealed until needed! A big improvement over the old containers!
5,I have had a chance to use these for a while. The design and strength of the containers is much better than earlier versions of containers. Much better design
5,My veggie's stayed good for two weeks! Overall well worth it!
5,Keeps food fresh. Stack nice for storage. I like that I am able to microwave and food doesn't stain.
5,Bought it for my home made ice cream. Sense my husband is the only one who eats it I needed something that would keep it fresh to the very last spoonful. This container does the job perfectly.
5,So glad that I bought them. Money well spent. Love them.
5,"Wow, I had strawberries stay fresh for over 12 days..."
5,Superb way to keep berries and other fruit fresh for much longer!
5,Well made container. Holds the vacuum well and is very durable. Caution: the instructions for the item says it will click when properly closed. It does not.
5,I have purchased two sets over the past year. Use them every day
5,I am so happy that I bought this product. Great product at great price
5,i like and they work! yaaaay! no more wasted food! We purchased 3 foodsaver machines for ourselves and family and we'd like to know how we can redeem our FREE CHEF ESSENTIALS SET COUPON!!!
5,One of the best storage containers. Easy to seal and the design greatly facilitates storage of the empty containers.
5,My vegetables lasted three times longer when I started using the Ten Cup Fresh Saver. I also bought the three cup and the five cup. I would recommend selling the bottom parts with the Fresh Savers as they are needed often.
5,"These are fabulous! I kept salad in the largest one for over 2 weeks. At the end of the time, the salad was just as fresh. Great product!"
5,"Have been wishing for larger containers and am thrilled with this one. Easy to use, you do have to pull a bit hard to open it. Loved it so much and bought the set of 5. I like that they are clear and that they have the seal indicator on the top to assure a complete seal"
5,These containers were probably the best that I have used with my Food Saver. All of the containers work very good the 3 cup 5 cup and the 10 cup have been used several times now both in the freezer and microwave and I have had no issues . I would recommend these to everyone get them you will really enjoy them. This review was collected as part of a promotion.
5,These are so easy to use and are good quality. So far so good!
5,This container surpassed all my expectations. I put grapes in it sealed it and three weeks later they were still firm and fresh. I love it
5,"I am very pleased with my purchase. Two words simplicity, and efficiency!"
5,Bought a set to try out the features. Over product features and benefits an A +. Already saving cash preserving fresh fruits and vegetables. Will continue to use and highly recommend to purchasing public.
5,I am very happy with new style container. Much more ridged then earlier container. Holds a tight seal very well. Great for loading cut up veggies and use later as needed.
5,"Thought they would keep produce for a week, but it actually has kept cucumbers for over three weeks...and counting! Positively awesome!!!"
5,Head of lettuce...three weeks still good. Cherries still like just picked after a month. Leftovers indefinitely. Works well with my older sealer. Easy to clean. Gonna buy more.
5,"I bought this a couple of months ago or so, and use it continuously. It holds a small head of lettuce. I use it a lot for chopped raw vegetables that I snack on during the day. They stay fresh and crisp all week."
5,"I absolutely love the FoodSaver Fresh containers. Not only are they nice to look at, they are very durable and keep the food fresh in the fridge. They also clean up great without any filmy look."
5,like these the best they really help preserve fruit cheese etc stored in refridgerator
5,I've used these to store cookies and a week later they were still as fresh as the day they were made.
5,I have been using these containers for about 2 weeks now and could not be happier. They are super easy to use and definitely extends the shelf life of leftovers. Highly recommend! Note I received this product in exchange for my honest review of their product. This review was collected as part of a promotion.
5,Bought this set hoping to keep my greens and spring mix fresher longer. This set has not left down with wasted food. Keeps all crisp and ready to use. Great product!
5,I really like the new fresh saver containers. I keep my celery in this one. It stays nice and fresh.
5,My fresh fruits and veggies last so much longer since I started using the containers. I'm now able to buy more in bulk and thus save money.
5,Just bought this container along with the produce tray. My greens have stayed nice for 9 days and counting!
5,KEEPS LETTUCE FRESH AT LEAST 3 WEEKS MAYBE MORE.OUTSTANDING!!!!!
5,I received these foodsaver products as a sample and wow they work great it makes a great addition to an already existing foodsaver products or would make a great starter and definitely save money by keeping leftovers longer This review was collected as part of a promotion.
5,All that I expected. This is a lot more solid than I expected it to be. It stays sealed for over a week at a time which I had read other canisters lost their seal after a short while. Very good and solid product.
5,"Purchased 4 weeks ago, but wish it was slightly larger to hold the one pound container of spring mix sold in stores."
5,Very happy with these products and store well in refrigerator!
5,They work wonderfully! Very easy to store Food really does last longer I love these so much I bought them for my best friend
5,"My wife and I have been looking ( for a very long time ) for something to keep lettuce (Romaine )from going bad This is it we make a salad and it stays fresh for weeks.( 2 or more )easy to use seals the first time everytime,Great product"
5,"Kept my oatmeal raisin cookies soft for 2 weeks, by then they were all gone"
5,Can't believe how the portion sizes work for my pantry! I keep checking to see if there is any pressure loss and they remain tightly sealed! I will be ordering more for leftovers soon.
5,These work very well. Keep the food very fresh. I will be buying another set soon along with the produce trays that go with them. I was unaware of the trays until after I received the set or I would own them already. Most
5,"Fruits and vegetables stay fresh for days, I love these containers."
5,I absolutely love these containers and highly recommend them! These are so well built and are a major improvement over the previous containers which were so flimsy and never closed or sealed properly. These are so sturdy and versatile. They seal the food perfectly and they look beautiful as well.
5,"Have had it for two weeks or so, it is sturdy, nice quality plastic and works great. Only drawback is in the users guide. It tells you to press the sides down until they click. They don't click. Press firmly and they work great."
5,I love it for small fruit items such as blueberries. I have more use for the larger containers so will have to buy more of those.
5,Bought these hoping they would replace the bags. To my Surprise they are better. I have put Lettuce in One it is still good after 3 weeks.
5,This I like the way this product looks and works. It is easy to seal and unseal. I also like the see through design and the size.
5,"I use the new Food Saver the new containers every day for fresh food for my parrots, plus my DH and I. Works very well, no wasted food, can see what is inside. I purchase things in bulk like coffee, parrot pellets, meat, vegetables, even berries and they all store very well with the food saver, either the bags or containers. Imagine keeping boysenberries and blueberries for 3-4 weeks (doled out 2 at a time for the parrots)--it's true."
5,I bought those over a month ago and am very happy with them. They are the right sizes and stack nicely in cabinet and frig.
5,Never realized how much food I threw away until I got my food saver containers wished I had done this years ago.
